,fullfilename,sound_id,species,gen
0,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_reynaudii/762699.wav,762699,reynaudii,Coua
1,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_reynaudii/762703.wav,762703,reynaudii,Coua
2,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_reynaudii/762701.wav,762701,reynaudii,Coua
3,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_reynaudii/762700.wav,762700,reynaudii,Coua
4,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_reynaudii/536749.wav,536749,reynaudii,Coua
5,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_reynaudii/418930.wav,418930,reynaudii,Coua
6,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_reynaudii/536970.wav,536970,reynaudii,Coua
7,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_reynaudii/418929.wav,418929,reynaudii,Coua
8,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_reynaudii/418928.wav,418928,reynaudii,Coua
9,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_reynaudii/622515.wav,622515,reynaudii,Coua
10,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_coquereli/26432.wav,26432,coquereli,Coua
11,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_coquereli/295343.wav,295343,coquereli,Coua
12,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_coquereli/154940.wav,154940,coquereli,Coua
13,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_coquereli/419019.wav,419019,coquereli,Coua
14,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_coquereli/154939.wav,154939,coquereli,Coua
15,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_coquereli/590227.wav,590227,coquereli,Coua
16,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_coquereli/624015.wav,624015,coquereli,Coua
17,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_gigas/295344.wav,295344,gigas,Coua
18,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_gigas/91706.wav,91706,gigas,Coua
19,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_gigas/68027.wav,68027,gigas,Coua
20,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_gigas/418191.wav,418191,gigas,Coua
21,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_gigas/154964.wav,154964,gigas,Coua
22,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_gigas/418190.wav,418190,gigas,Coua
23,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_gigas/762694.wav,762694,gigas,Coua
24,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_gigas/418988.wav,418988,gigas,Coua
25,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_gigas/762695.wav,762695,gigas,Coua
26,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_gigas/762696.wav,762696,gigas,Coua
27,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cristata/493590.wav,493590,cristata,Coua
28,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cristata/295125.wav,295125,cristata,Coua
29,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cristata/603794.wav,603794,cristata,Coua
30,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cristata/660180.wav,660180,cristata,Coua
31,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cristata/649365.wav,649365,cristata,Coua
32,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cristata/762687.wav,762687,cristata,Coua
33,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cristata/625294.wav,625294,cristata,Coua
34,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cristata/624029.wav,624029,cristata,Coua
35,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cristata/624006.wav,624006,cristata,Coua
36,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cursor/91700.wav,91700,cursor,Coua
37,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cursor/155294.wav,155294,cursor,Coua
38,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_cursor/419008.wav,419008,cursor,Coua
39,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_ruficeps/624020.wav,624020,ruficeps,Coua
40,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_ruficeps/624021.wav,624021,ruficeps,Coua
41,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_ruficeps/26421.wav,26421,ruficeps,Coua
42,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_ruficeps/423589.wav,423589,ruficeps,Coua
43,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_ruficeps/624002.wav,624002,ruficeps,Coua
44,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_ruficeps/624003.wav,624003,ruficeps,Coua
45,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_caerulea/418943.wav,418943,caerulea,Coua
46,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_caerulea/154932.wav,154932,caerulea,Coua
47,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_caerulea/622816.wav,622816,caerulea,Coua
48,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_caerulea/622570.wav,622570,caerulea,Coua
49,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_caerulea/622573.wav,622573,caerulea,Coua
50,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_serriana/762710.wav,762710,serriana,Coua
51,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_serriana/762706.wav,762706,serriana,Coua
52,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_serriana/762712.wav,762712,serriana,Coua
53,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_serriana/162772.wav,162772,serriana,Coua
54,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_serriana/162771.wav,162771,serriana,Coua
55,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_serriana/294163.wav,294163,serriana,Coua
56,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_serriana/86597.wav,86597,serriana,Coua
57,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_serriana/295110.wav,295110,serriana,Coua
58,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_serriana/155271.wav,155271,serriana,Coua
59,/Users/Paul/Paul/Desktop/My_projects/Bioacoustics/Maputo_Dash/datasets/COUA/wav/Coua_serriana/147840.wav,147840,serriana,Coua
