,id,rec,loc,gen,sp,lat,lng,alt,type,q,length,bird-seen,file,en
0,762687,Peter Boesman,"Ankarafantsika NP, Mahajanga",Coua,cristata,-16.3004,46.8124,?,call,A,0:36,unknown,https://xeno-canto.org/762687/download,Crested Coua
1,660180,Ken Behrens,Northeast Montagne des Français,Coua,cristata,-12.3346,49.3545,140,call,A,0:15,yes,https://xeno-canto.org/660180/download,Crested Coua
2,649365,Nature sounds by Simply Birding,"Betakilotra, Ambato-Boina, Mahajanga Province",Coua,cristata,-16.9176,45.9463,220,song,A,0:18,yes,https://xeno-canto.org/649365/download,Crested Coua
3,625294,Ken Behrens,"Amoronjia-Orangéa, Diana, Antsiranana Province",Coua,cristata,-12.2646,49.3747,50,song,A,0:41,yes,https://xeno-canto.org/625294/download,Crested Coua
4,624029,Ken Behrens,"Ampijoroa Station, Ankarafonsika NP, Mahajanga Prov.",Coua,cristata,-16.3051,46.812,70,song,A,0:13,yes,https://xeno-canto.org/624029/download,Crested Coua
5,624006,Ken Behrens,"Ampijoroa Station, Ankarafonsika NP, Mahajanga Prov.",Coua,cristata,-16.3051,46.812,70,call,A,0:24,yes,https://xeno-canto.org/624006/download,Crested Coua
6,603794,Ken Behrens,Bobangira Forest,Coua,cristata,-13.7474,50.1134,3,call,A,0:16,no,https://xeno-canto.org/603794/download,Crested Coua
7,493590,Cin-Ty Lee,Berenty Private Reserve,Coua,cristata,-25.0089,46.3081,30,call,A,1:07,unknown,https://xeno-canto.org/493590/download,Crested Coua
8,295125,Bernard BOUSQUET,"Belon'i Tsiribihina, Toliara",Coua,cristata,-19.7013,44.9931,20,call,A,0:49,yes,https://xeno-canto.org/295125/download,Crested Coua
9,26704,Daniel Lane,"Berenty Reserve, Toliara Prov. ",Coua,cristata,-25.059,46.3028,30,call,A,0:24,unknown,https://xeno-canto.org/26704/download,Crested Coua
10,26703,Daniel Lane,"Berenty Reserve, Toliara Prov. ",Coua,cristata,-25.059,46.3028,30,call,A,0:15,unknown,https://xeno-canto.org/26703/download,Crested Coua
11,26702,Daniel Lane,"Berenty Reserve, Toliara Prov. ",Coua,cristata,-25.059,46.3028,30,call,A,0:18,unknown,https://xeno-canto.org/26702/download,Crested Coua
12,622816,Ken Behrens,"Bemanevika, Bealanana District, Mahajanga Province",Coua,caerulea,-14.336,48.5955,1600,song,A,0:08,no,https://xeno-canto.org/622816/download,Blue Coua
13,622573,Ken Behrens,"Antsirabe, Sambava, Antsiranana Province",Coua,caerulea,-14.4376,49.7757,480,call,A,0:27,yes,https://xeno-canto.org/622573/download,Blue Coua
14,622570,Ken Behrens,"Antsirabe, Sambava, Antsiranana Province",Coua,caerulea,-14.4376,49.7757,480,call,A,0:15,yes,https://xeno-canto.org/622570/download,Blue Coua
15,418943,Ross Gallardy,"Alaotra-Mangoro, Toamasina Province",Coua,caerulea,-19.0352,48.418,1100,call,A,0:48,yes,https://xeno-canto.org/418943/download,Blue Coua
16,154932,Hans Matheve,Masoala National Park,Coua,caerulea,-15.6978,49.9631,150,call,A,0:37,yes,https://xeno-canto.org/154932/download,Blue Coua
17,624021,Ken Behrens,"Ampijoroa Station, Ankarafonsika NP, Mahajanga Prov.",Coua,ruficeps,-16.3051,46.812,70,"song, bill snaps",A,0:07,yes,https://xeno-canto.org/624021/download,Red-capped Coua
18,624020,Ken Behrens,"Ampijoroa Station, Ankarafonsika NP, Mahajanga Prov.",Coua,ruficeps,-16.3051,46.812,70,"call, bill snaps",A,0:36,yes,https://xeno-canto.org/624020/download,Red-capped Coua
19,624003,Ken Behrens,"Ampijoroa Station, Ankarafonsika NP, Mahajanga Prov.",Coua,ruficeps,-16.3051,46.812,70,call,A,0:18,yes,https://xeno-canto.org/624003/download,Red-capped Coua
20,624002,Ken Behrens,"Ampijoroa Station, Ankarafonsika NP, Mahajanga Prov.",Coua,ruficeps,-16.3051,46.812,70,"call, bill snaps",A,0:55,yes,https://xeno-canto.org/624002/download,Red-capped Coua
21,423589,Barry Edmonston,La Table National Park,Coua,ruficeps,-23.4131,43.8077,140,call,A,0:33,yes,https://xeno-canto.org/423589/download,Red-capped Coua
22,26421,Daniel Lane,"Ifaty (Mossa park), ca 26 km N of Toliara, Toliara Prov. ",Coua,ruficeps,-23.1137,43.632,30,"call, song",A,1:41,unknown,https://xeno-canto.org/26421/download,Red-capped Coua
23,762703,Peter Boesman,"Ranomafana National Park, Fianarantsoa",Coua,reynaudii,-21.4326,47.3978,?,call,A,0:17,unknown,https://xeno-canto.org/762703/download,Red-fronted Coua
24,762701,Peter Boesman,"Ranomafana National Park, Fianarantsoa",Coua,reynaudii,-21.4326,47.3978,?,call,A,0:18,unknown,https://xeno-canto.org/762701/download,Red-fronted Coua
25,762700,Peter Boesman,"Ranomafana National Park, Fianarantsoa",Coua,reynaudii,-21.4326,47.3978,?,call,A,1:40,unknown,https://xeno-canto.org/762700/download,Red-fronted Coua
26,762699,Peter Boesman,"Bemanevika, Mahajanga",Coua,reynaudii,-14.363,48.5873,?,call,A,1:43,unknown,https://xeno-canto.org/762699/download,Red-fronted Coua
27,622515,Ken Behrens,"Antsirabe, Sambava, Antsiranana Province",Coua,reynaudii,-14.4376,49.7757,480,call,A,0:19,yes,https://xeno-canto.org/622515/download,Red-fronted Coua
28,536970,Dries Van de Loock,"Iaroka Forest, Moramanga District, Toamasina Province",Coua,reynaudii,-19.0278,48.4494,1100,call,A,0:03,yes,https://xeno-canto.org/536970/download,Red-fronted Coua
29,536749,Dries Van de Loock,Ranomafana National Park,Coua,reynaudii,-21.26,47.42,950,song,A,0:07,yes,https://xeno-canto.org/536749/download,Red-fronted Coua
30,418930,Ross Gallardy,"Alaotra-Mangoro, Toamasina Province",Coua,reynaudii,-19.0352,48.418,1100,call,A,0:42,yes,https://xeno-canto.org/418930/download,Red-fronted Coua
31,418929,Ross Gallardy,"Alaotra-Mangoro, Toamasina Province",Coua,reynaudii,-19.0352,48.418,1100,call,A,0:36,yes,https://xeno-canto.org/418929/download,Red-fronted Coua
