,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
0,647576,Numida,meleagris,,birds,Helmeted Guineafowl,Ken Behrens,Madagascar,Montagne des Français,-12.3279,49.3386,320,call,,,field recording,//xeno-canto.org/647576,https://xeno-canto.org/647576/download,XC647576-VOC_210508-2021 Helmeted Guineafowl ED UL.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC647576-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC647576-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC647576-large.png', 'full': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC647576-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC647576-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC647576-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC647576-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:27,10:15,2021-05-08,2021-05-12,"['Lepidopygia nana', 'Hypsipetes madagascariensis', 'Foudia madagascariensis']",,yes,yes,no,,,no,,,44100
1,647573,Numida,meleagris,,birds,Helmeted Guineafowl,Ken Behrens,Madagascar,Montagne des Français,-12.3279,49.3386,320,call,,,field recording,//xeno-canto.org/647573,https://xeno-canto.org/647573/download,XC647573-VOC_210508-2023 Helmeted Guineafowl ED UL.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC647573-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC647573-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC647573-large.png', 'full': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC647573-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC647573-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC647573-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC647573-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:10,10:10,2021-05-08,2021-05-12,"['Hypsipetes madagascariensis', 'Foudia madagascariensis']",,yes,yes,no,,,no,,,44100
2,162744,Numida,meleagris,,birds,Helmeted Guineafowl,Mike Nelson,Madagascar,"Chez Arol, Masoala NP",-15.5803,49.9101,200,call,,,field recording,//xeno-canto.org/162744,https://xeno-canto.org/162744/download,XC162744-Helmeted GuineafowlMP22013.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC162744-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC162744-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC162744-large.png', 'full': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC162744-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/wave/XC162744-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/wave/XC162744-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/wave/XC162744-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:17,07:30,2013-12-06,2014-01-03,[],,yes,yes,no,,,no,,,44100
3,162743,Numida,meleagris,,birds,Helmeted Guineafowl,Mike Nelson,Madagascar,"Chez Arol, Masoala NP",-15.5803,49.9101,200,call,,,field recording,//xeno-canto.org/162743,https://xeno-canto.org/162743/download,XC162743-Helmeted GuineafowlMP12013.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC162743-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC162743-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC162743-large.png', 'full': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/ffts/XC162743-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/wave/XC162743-small.png', 'med': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/wave/XC162743-med.png', 'large': '//xeno-canto.org/sounds/uploaded/PWDLINYMKL/wave/XC162743-large.png'}",//creativecommons.org/licenses/by-nc-sa/3.0/,B,0:27,07:30,2013-12-06,2014-01-03,[],,yes,yes,no,,,no,,,44100
4,142967,Numida,meleagris,,birds,Helmeted Guineafowl,Fernand DEROUSSEN,Madagascar,"Vohibinany, Toamasina",-18.5948,49.2149,30,song,,,field recording,//xeno-canto.org/142967,https://xeno-canto.org/142967/download,XC142967-2010112510 Numida meleagris_M_F Deroussen.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC142967-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC142967-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC142967-large.png', 'full': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/ffts/XC142967-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC142967-small.png', 'med': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC142967-med.png', 'large': '//xeno-canto.org/sounds/uploaded/UXGZWVYDFE/wave/XC142967-large.png'}",//creativecommons.org/licenses/by-nc-nd/3.0/,B,0:13,07:00,2010-11-25,2013-07-20,[],,yes,yes,no,,,no,,,48000
5,93623,Numida,meleagris,,birds,Helmeted Guineafowl,Rory Nefdt,Madagascar,"Lac Le Carat, Ambatofotsy, 20kms South of Antananarivo",-19.076,47.557,1270,call,,,field recording,//xeno-canto.org/93623,https://xeno-canto.org/93623/download,178_Helmeted_Guineafowl_Ambatofotsy_24Jan12_1835.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC93623-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC93623-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC93623-large.png', 'full': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/ffts/XC93623-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/wave/XC93623-small.png', 'med': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/wave/XC93623-med.png', 'large': '//xeno-canto.org/sounds/uploaded/QUBGGKWQNN/wave/XC93623-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,C,0:27,18:35 hrs,2012-01-24,2012-01-28,['Cuculus rochii'],,unknown,unknown,unknown,,,no,,,44100
6,623755,Coturnix,coturnix,,birds,Common Quail,Ken Behrens,Madagascar,"Bemanevika, Bealanana District, Mahajanga Province",-14.336,48.5955,1600,song,,,field recording,//xeno-canto.org/623755,https://xeno-canto.org/623755/download,XC623755-VOC_201203-1595 Common Quail ED.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC623755-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC623755-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC623755-large.png', 'full': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC623755-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC623755-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC623755-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC623755-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:09,18:00,2020-12-04,2021-02-23,['Cuculus rochii'],,no,no,no,,,no,,,44100
7,627644,Coturnix,delegorguei,,birds,Harlequin Quail,Ken Behrens,Madagascar,"Antisiranana, Diana, Antsiranana Province",-12.3252,49.3067,10,song,,,field recording,//xeno-canto.org/627644,https://xeno-canto.org/627644/download,XC627644-VOC_210309-1957 Harlequin Quail ED.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC627644-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC627644-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC627644-large.png', 'full': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC627644-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC627644-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC627644-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC627644-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:08,07:05,2021-03-09,2021-03-09,['Acridotheres tristis'],,yes,yes,no,,,no,,,44100
8,627645,Coturnix,delegorguei,,birds,Harlequin Quail,Ken Behrens,Madagascar,"Antisiranana, Diana, Antsiranana Province",-12.3252,49.3067,10,song,,,field recording,//xeno-canto.org/627645,https://xeno-canto.org/627645/download,XC627645-VOC_210309-1955 Harlequin Quail ED.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC627645-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC627645-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC627645-large.png', 'full': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC627645-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC627645-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC627645-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC627645-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:56,06:55,2021-03-09,2021-03-09,"['Acridotheres tristis', 'Cisticola cherina']",,yes,yes,no,,,no,,,44100
9,660179,Gallus,gallus,domesticus,birds,Red Junglefowl,Ken Behrens,Madagascar,Northeast Montagne des Français,-12.3346,49.3545,140,song,,,field recording,//xeno-canto.org/660179,https://xeno-canto.org/660179/download,XC660179-VOC_210618-2110 Red Junglefowl ED.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC660179-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC660179-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC660179-large.png', 'full': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/ffts/XC660179-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC660179-small.png', 'med': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC660179-med.png', 'large': '//xeno-canto.org/sounds/uploaded/GABAHHYWYR/wave/XC660179-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,D,0:06,06:10,2021-06-21,2021-06-30,['Gallus gallus'],"Definitely a domestic bird, though apparently there are some wild populations in Madagascar. ",yes,yes,no,,,no,,,44100
