,id,rec,loc,gen,sp,lat,lng,alt,type,q,length,bird-seen,file,en
0,401682,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island",Nesoenas,picturatus,-21.3546,55.742,220,song,C,0:08,no,https://xeno-canto.org/401682/download,Malagasy Turtle Dove
1,400865,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Nesoenas,picturatus,-21.2854,55.3882,10,song,C,0:16,no,https://xeno-canto.org/400865/download,Malagasy Turtle Dove
2,400864,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Nesoenas,picturatus,-21.2854,55.3882,10,song,C,0:12,no,https://xeno-canto.org/400864/download,Malagasy Turtle Dove
3,401681,Cedric Mroczko,"Forêt de Mare Longue, Saint-Philippe, Reunion Island",Nesoenas,picturatus,-21.3546,55.742,220,song,D,0:09,no,https://xeno-canto.org/401681/download,Malagasy Turtle Dove
4,400874,Cedric Mroczko,"Kiosques de Bras-Long, Entre-Deux, Reunion Island",Geopelia,striata,-21.2186,55.4757,600,song,B,0:13,no,https://xeno-canto.org/400874/download,Zebra Dove
5,400868,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,B,0:29,no,https://xeno-canto.org/400868/download,Common Moorhen
6,400867,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,B,0:32,no,https://xeno-canto.org/400867/download,Common Moorhen
7,400809,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,B,0:07,yes,https://xeno-canto.org/400809/download,Common Moorhen
8,400808,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,alarm call,B,0:02,yes,https://xeno-canto.org/400808/download,Common Moorhen
9,400804,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,B,0:09,yes,https://xeno-canto.org/400804/download,Common Moorhen
10,400803,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,B,0:02,yes,https://xeno-canto.org/400803/download,Common Moorhen
11,400869,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,C,0:23,no,https://xeno-canto.org/400869/download,Common Moorhen
12,400866,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,C,0:06,no,https://xeno-canto.org/400866/download,Common Moorhen
13,400811,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,C,0:03,no,https://xeno-canto.org/400811/download,Common Moorhen
14,400810,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,C,0:02,yes,https://xeno-canto.org/400810/download,Common Moorhen
15,400805,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,C,0:36,no,https://xeno-canto.org/400805/download,Common Moorhen
16,400802,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,C,0:07,yes,https://xeno-canto.org/400802/download,Common Moorhen
17,400797,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Gallinula,chloropus,-21.2854,55.3882,10,call,C,0:08,yes,https://xeno-canto.org/400797/download,Common Moorhen
18,400859,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Butorides,striata,-21.2854,55.3882,10,flight call,A,0:04,yes,https://xeno-canto.org/400859/download,Striated Heron
19,400858,Cedric Mroczko,"Etang du Gol, Saint-Louis, Reunion Island",Butorides,striata,-21.2854,55.3882,10,flight call,B,0:03,yes,https://xeno-canto.org/400858/download,Striated Heron
20,142512,Johannes Fischer,"Plaine de Chicots, Reunion",Circus,maillardi,-20.9667,55.4334,1400,call,B,0:10,yes,https://xeno-canto.org/142512/download,Reunion Harrier
21,305041,Daniel Danckwerts,"Roche Ecrite trail, Reunion NP",Lalage,newtoni,-20.9623,55.4403,1400,song,A,0:58,yes,https://xeno-canto.org/305041/download,Reunion Cuckooshrike
22,155394,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Lalage,newtoni,-20.9699,55.4407,1500,song,A,0:16,yes,https://xeno-canto.org/155394/download,Reunion Cuckooshrike
23,155393,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Lalage,newtoni,-20.9699,55.4407,1500,call,A,0:06,yes,https://xeno-canto.org/155393/download,Reunion Cuckooshrike
24,26218,Daniel Lane,"Roche Ecrite trail, Reunion NP",Lalage,newtoni,-20.9623,55.4403,1400,song,A,0:50,unknown,https://xeno-canto.org/26218/download,Reunion Cuckooshrike
25,20836,George Sangster,"Plaine de Chicots, Reunion",Lalage,newtoni,-20.9667,55.4334,?,song,A,0:58,unknown,https://xeno-canto.org/20836/download,Reunion Cuckooshrike
26,20761,George Sangster,"Plaine de Chicots, Reunion",Lalage,newtoni,-20.9667,55.4334,?,song,A,0:57,unknown,https://xeno-canto.org/20761/download,Reunion Cuckooshrike
27,305037,Daniel Danckwerts,"Roche Ecrite trail, Reunion NP",Lalage,newtoni,-20.9623,55.4403,1400,song,B,0:43,yes,https://xeno-canto.org/305037/download,Reunion Cuckooshrike
28,155395,Hans Matheve,"La Roche Ecrite Nature Reserve, Réunion",Lalage,newtoni,-20.9699,55.4407,1500,call,B,0:10,yes,https://xeno-canto.org/155395/download,Reunion Cuckooshrike
29,148691,Johannes Fischer,"Plaine de Chicots, Reunion",Lalage,newtoni,-20.9667,55.4334,1400,call,B,0:05,yes,https://xeno-canto.org/148691/download,Reunion Cuckooshrike
30,305040,Daniel Danckwerts,"Roche Ecrite trail, Reunion NP",Lalage,newtoni,-20.9623,55.4403,1400,song,C,0:43,yes,https://xeno-canto.org/305040/download,Reunion Cuckooshrike
31,157030,Phil Gregory,"Roche Ecrite trail, Reunion NPm above Mamode camp",Lalage,newtoni,-20.9623,55.4403,1400,song,C,0:05,yes,https://xeno-canto.org/157030/download,Reunion Cuckooshrike
32,148690,Johannes Fischer,"Plaine de Chicots, Reunion",Lalage,newtoni,-20.9667,55.4334,1400,song,C,0:04,yes,https://xeno-canto.org/148690/download,Reunion Cuckooshrike
33,157028,Phil Gregory,"Roche Ecrite trail, Reunion NPm above Mamode camp",Lalage,newtoni,-20.9623,55.4403,1400,call,D,0:26,no,https://xeno-canto.org/157028/download,Reunion Cuckooshrike
34,463219,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Terpsiphone,bourbonnensis,-20.9699,55.4407,1500,call,A,0:13,yes,https://xeno-canto.org/463219/download,Mascarene Paradise Flycatcher
35,463218,Étienne Leroy,"La Roche Ecrite Nature Reserve, Réunion",Terpsiphone,bourbonnensis,-20.9699,55.4407,1500,begging call,A,0:20,yes,https://xeno-canto.org/463218/download,Mascarene Paradise Flycatcher
