,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
0,401682,Nesoenas,picturatus,,birds,Malagasy Turtle Dove,Cedric Mroczko,France,"Forêt de Mare Longue, Saint-Philippe, Reunion Island",-21.3546,55.742,220,song,,,field recording,//xeno-canto.org/401682,https://xeno-canto.org/401682/download,XC401682-170927_0105.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC401682-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC401682-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC401682-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC401682-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC401682-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC401682-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC401682-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:08,14:00,2017-09-27,2018-02-03,['Saxicola tectes'],"Same bird as XC401681. Low-pass filtered (800Hz, 6db)",no,no,no,,,no,,,48000
1,400865,Nesoenas,picturatus,,birds,Malagasy Turtle Dove,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,song,,,field recording,//xeno-canto.org/400865,https://xeno-canto.org/400865/download,XC400865-170924_0040.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400865-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400865-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400865-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400865-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400865-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400865-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400865-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:16,09:25,2017-09-24,2018-01-28,"['Geopelia striata', 'Pycnonotus jocosus', 'Gallinula chloropus', 'Zosterops borbonicus']","High-pass filtered (200Hz, 12dB)",no,no,no,,,no,,,48000
2,400864,Nesoenas,picturatus,,birds,Malagasy Turtle Dove,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,song,,,field recording,//xeno-canto.org/400864,https://xeno-canto.org/400864/download,XC400864-170924_0039.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400864-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400864-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400864-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400864-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400864-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400864-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400864-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:12,09:25,2017-09-24,2018-01-28,"['Geopelia striata', 'Estrilda astrild', 'Zosterops borbonicus']","High-pass filtered (200Hz, 12dB)",no,no,no,,,no,,,48000
3,401681,Nesoenas,picturatus,,birds,Malagasy Turtle Dove,Cedric Mroczko,France,"Forêt de Mare Longue, Saint-Philippe, Reunion Island",-21.3546,55.742,220,song,,,field recording,//xeno-canto.org/401681,https://xeno-canto.org/401681/download,XC401681-170927_0104.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC401681-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC401681-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC401681-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC401681-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC401681-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC401681-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC401681-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,D,0:09,14:00,2017-09-27,2018-02-03,['Saxicola tectes'],"Low-pass filtered (1000Hz, 6db)",no,no,no,,,no,,,48000
4,400874,Geopelia,striata,,birds,Zebra Dove,Cedric Mroczko,France,"Kiosques de Bras-Long, Entre-Deux, Reunion Island",-21.2186,55.4757,600,song,,,field recording,//xeno-canto.org/400874,https://xeno-canto.org/400874/download,XC400874-170924_0050.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400874-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400874-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400874-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400874-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400874-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400874-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400874-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:13,17:45,2017-09-24,2018-01-28,"['Pycnonotus jocosus', 'Saxicola tectes', 'Nesoenas picturatus', 'Zosterops olivaceus']",2 song types,no,no,no,,,no,,,48000
5,400868,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400868,https://xeno-canto.org/400868/download,XC400868-170924_0044.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400868-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400868-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400868-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400868-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400868-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400868-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400868-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:29,09:40,2017-09-24,2018-01-28,"['Geopelia striata', 'Zosterops borbonicus']","High-pass filtered (250Hz, 12dB)",no,no,no,,,no,,,48000
6,400867,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400867,https://xeno-canto.org/400867/download,XC400867-170924_0043.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400867-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400867-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400867-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400867-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400867-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400867-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400867-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:32,09:40,2017-09-24,2018-01-28,"['Geopelia striata', 'Acridotheres tristis', 'Pycnonotus jocosus', 'Gallinula chloropus', 'Zosterops borbonicus']","High-pass filtered (250Hz, 12dB)",no,no,no,,,no,,,48000
7,400809,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400809,https://xeno-canto.org/400809/download,XC400809-170923_0022.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400809-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400809-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400809-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400809-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400809-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400809-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400809-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:07,17:45,2017-09-23,2018-01-27,['Pycnonotus jocosus'],"High-pass filtered (400HZ, 6dB)",yes,yes,no,,,no,,,48000
8,400808,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,alarm call,,,field recording,//xeno-canto.org/400808,https://xeno-canto.org/400808/download,XC400808-170923_0021.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400808-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400808-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400808-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400808-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400808-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400808-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400808-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:02,17:40,2017-09-23,2018-01-27,['Pycnonotus jocosus'],"High-pass filtered (500HZ, 6dB)",yes,yes,no,,,no,,,48000
9,400804,Gallinula,chloropus,pyrrhorrhoa,birds,Common Moorhen,Cedric Mroczko,France,"Etang du Gol, Saint-Louis, Reunion Island",-21.2854,55.3882,10,call,,,field recording,//xeno-canto.org/400804,https://xeno-canto.org/400804/download,XC400804-170923_0016.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400804-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400804-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400804-large.png', 'full': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/ffts/XC400804-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400804-small.png', 'med': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400804-med.png', 'large': '//xeno-canto.org/sounds/uploaded/TJSRKPHQNP/wave/XC400804-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:09,17:05,2017-09-23,2018-01-27,"['Acridotheres tristis', 'Zosterops borbonicus']","High-pass filtered (500HZ, 6dB)",yes,yes,no,,,no,,,48000
