,id,rec,loc,gen,sp,lat,lng,alt,type,q,length,bird-seen,file,en
0,652467,Niall Perrins,"San Sebastian, Vilanculos, Inhambane",Guttera,pucherani,-22.149,35.4783,30,call,C,2:26,yes,https://xeno-canto.org/652467/download,Crested Guineafowl
1,185643,Niall Perrins,"Cheringoma, Sofala",Dendroperdix,sephaena,-18.2455,35.2542,280,song,B,0:24,no,https://xeno-canto.org/185643/download,Crested Francolin
2,304235,Alan Collett,"Chibabava, Sofala",Dendroperdix,sephaena,-20.9507,33.9082,80,call,C,0:57,no,https://xeno-canto.org/304235/download,Crested Francolin
3,347179,David C. Moyer,"Mecula, Niassa",Pternistis,hildebrandti,-12.1789,37.5548,600,song,C,0:53,no,https://xeno-canto.org/347179/download,Hildebrandt's Spurfowl
4,346596,David Moyer,"Mbatamila, Mecula, Niassa",Pternistis,afer,-12.1839,37.5501,480,song,B,0:25,yes,https://xeno-canto.org/346596/download,Red-necked Spurfowl
5,59746,Bram Piot,Inhaca island,Pternistis,afer,-26.023,32.907,10,call,C,0:35,yes,https://xeno-canto.org/59746/download,Red-necked Spurfowl
6,651558,Nature sounds by Simply Birding,"Pafuri, Chicualacuala, Gaza",Caprimulgus,pectoralis,-22.4501,31.3213,200,song,A,1:19,yes,https://xeno-canto.org/651558/download,Fiery-necked Nightjar
7,705357,Olivier Hamerlynck,"Lopes, Matutuíne District, Maputo Province",Caprimulgus,pectoralis,-26.8025,32.8737,20,song,B,0:31,no,https://xeno-canto.org/705357/download,Fiery-necked Nightjar
8,652455,Niall Perrins,"San Sebastian, Vilankulo, Inhambane Province",Caprimulgus,pectoralis,-22.1357,35.4449,0,"dawn song, song",B,1:21,no,https://xeno-canto.org/652455/download,Fiery-necked Nightjar
9,563702,Gabriel A. Jamie,Mount Chitagal,Caprimulgus,poliocephalus,-12.5925,35.2503,1800,song,C,0:55,no,https://xeno-canto.org/563702/download,Montane Nightjar
10,688818,Ken Behrens,"Camacho, Marromeu, Sofala",Neafrapus,boehmi,-18.1845,35.3714,180,call,D,0:28,yes,https://xeno-canto.org/688818/download,Böhm's Spinetail
11,543748,Etienne Marais,"Inhassoro, Inhassoro, Inhambane",Apus,berliozi,-21.5068,35.1882,20,"call, flight call, flight calls",C,0:39,yes,https://xeno-canto.org/543748/download,Forbes-Watson's Swift
12,761330,Antonio Xeira,"Ponta do Ouro, Matutuíne",Tauraco,porphyreolophus,-26.8452,32.8925,0,call,B,0:29,yes,https://xeno-canto.org/761330/download,Purple-crested Turaco
13,761336,Antonio Xeira,"Ponta do Ouro, Matutuíne",Tauraco,porphyreolophus,-26.8452,32.8925,0,call,C,0:29,no,https://xeno-canto.org/761336/download,Purple-crested Turaco
14,761338,Antonio Xeira,"Ponta do Ouro, Matutuíne",Centropus,burchellii,-26.8452,32.8925,0,song,C,0:06,no,https://xeno-canto.org/761338/download,Burchell's Coucal
15,710790,Olivier Hamerlynck,"Marracuene District, Marracuene District, Maputo Province",Centropus,grillii,-25.7283,32.6992,0,song,B,0:43,unknown,https://xeno-canto.org/710790/download,Black Coucal
16,457592,Gary Allport,"Marracuene, Maputo",Centropus,grillii,-25.7331,32.709,10,song,C,0:06,no,https://xeno-canto.org/457592/download,Black Coucal
17,520132,Lynette Rudman,"Cheringoma, Sofala",Ceuthmochares,australis,-18.0402,35.2022,90,song,B,0:37,yes,https://xeno-canto.org/520132/download,Green Malkoha
18,610358,Thomas Bruneau,"Siane, Inharrime, Inhambane Province",Ceuthmochares,australis,-24.4384,35.2477,40,uncertain,C,0:26,no,https://xeno-canto.org/610358/download,Green Malkoha
19,452899,Antonio Xeira,"Dona Alice - Costa do Sol, Maputo",Chrysococcyx,caprius,-25.9061,32.6335,10,song,B,0:04,no,https://xeno-canto.org/452899/download,Diederik Cuckoo
20,448614,Antonio Xeira,Inhaca island,Chrysococcyx,klaas,-26.023,32.907,50,song,B,1:49,yes,https://xeno-canto.org/448614/download,Klaas's Cuckoo
21,524395,Lynette Rudman,"Cheringoma, Sofala",Chrysococcyx,cupreus,-18.2328,35.2385,260,song,B,0:10,yes,https://xeno-canto.org/524395/download,African Emerald Cuckoo
22,524394,Lynette Rudman,"Cheringoma, Sofala",Chrysococcyx,cupreus,-18.0142,35.2014,100,song,B,0:48,yes,https://xeno-canto.org/524394/download,African Emerald Cuckoo
23,207012,Niall Perrins,"Chinde, Zambezia Province",Cercococcyx,montanus,-18.187,36.3709,0,"call, song",B,1:48,yes,https://xeno-canto.org/207012/download,Barred Long-tailed Cuckoo
24,524431,Lynette Rudman,"Cheringoma, Sofala",Cuculus,clamosus,-18.2439,35.2414,280,song,C,0:06,no,https://xeno-canto.org/524431/download,Black Cuckoo
25,524534,Lynette Rudman,"Cheringoma, Sofala",Cuculus,solitarius,-18.0018,35.1525,50,song,B,0:22,no,https://xeno-canto.org/524534/download,Red-chested Cuckoo
26,207013,Niall Perrins,"Gorongosa, Sofala",Columba,delegorguei,-18.4665,34.0504,1100,song,C,1:06,yes,https://xeno-canto.org/207013/download,Eastern Bronze-naped Pigeon
27,100465,Rory Nefdt,"Caia, Sofala",Streptopelia,semitorquata,-17.843,35.327,30,song,C,0:09,unknown,https://xeno-canto.org/100465/download,Red-eyed Dove
