,id,rec,loc,gen,sp,lat,lng,alt,type,q,length,bird-seen,file,en
0,124237,Patrik Åberg,"Tmat Boey, Preah Vihear Province",Francolinus,pintadeanus,13.9667,104.8833,70,song,A,1:32,no,https://xeno-canto.org/124237/download,Chinese Francolin
1,124231,Patrik Åberg,"Tmat Boey, Preah Vihear Province",Francolinus,pintadeanus,13.9667,104.8833,70,song,A,1:11,no,https://xeno-canto.org/124231/download,Chinese Francolin
2,88022,Frank Lambert,"Andong Bor Community Forest, Oddar Meanchey Province",Francolinus,pintadeanus,14.0188227193007,103.213256844319,65,song,A,0:39,unknown,https://xeno-canto.org/88022/download,Chinese Francolin
3,88020,Frank Lambert,"Andong Bor Community Forest, Oddar Meanchey Province",Francolinus,pintadeanus,14.0188227193007,103.213256844319,65,"song, song phrase",A,0:05,unknown,https://xeno-canto.org/88020/download,Chinese Francolin
4,87808,Frank Lambert,Sangkrous Preychheu Community Forest,Francolinus,pintadeanus,13.9759,104.0698,60,song,A,1:10,unknown,https://xeno-canto.org/87808/download,Chinese Francolin
5,87807,Frank Lambert,Sangkrous Preychheu Community Forest,Francolinus,pintadeanus,13.9759,104.0698,60,song,A,1:11,unknown,https://xeno-canto.org/87807/download,Chinese Francolin
6,420901,Erik Sandvig,"Prek Prasab, Kratié Province",Francolinus,pintadeanus,12.6091,105.9448,40,call,B,0:42,yes,https://xeno-canto.org/420901/download,Chinese Francolin
7,295726,Ross Gallardy,"Tmat Boey, Preah Vihear Province",Francolinus,pintadeanus,13.9667,104.8833,70,song,B,0:21,yes,https://xeno-canto.org/295726/download,Chinese Francolin
8,240312,Mike Nelson,"Tmat Boey, Preah Vihear Province",Francolinus,pintadeanus,13.9667,104.8833,70,call,B,1:12,yes,https://xeno-canto.org/240312/download,Chinese Francolin
9,124240,Patrik Åberg,"Tmat Boey, Preah Vihear Province",Francolinus,pintadeanus,13.9667,104.8833,70,song,B,1:57,no,https://xeno-canto.org/124240/download,Chinese Francolin
10,88502,Frank Lambert,"Sorng Rokavorn Community Forest, Oddar Meanchey Province",Francolinus,pintadeanus,14.1528,103.8109,50,song,B,0:53,unknown,https://xeno-canto.org/88502/download,Chinese Francolin
11,88021,Frank Lambert,"Andong Bor Community Forest, Oddar Meanchey Province",Francolinus,pintadeanus,14.0188227193007,103.213256844319,65,song,B,0:35,unknown,https://xeno-canto.org/88021/download,Chinese Francolin
12,87806,Frank Lambert,Sangkrous Preychheu Community Forest,Francolinus,pintadeanus,13.9759,104.0698,60,song,B,0:32,unknown,https://xeno-canto.org/87806/download,Chinese Francolin
13,49764,D.Farrow,Chhep,Francolinus,pintadeanus,,,?,song,B,0:52,unknown,https://xeno-canto.org/49764/download,Chinese Francolin
14,24555,David Edwards,"Tmat Boey, Preah Vihear Province",Francolinus,pintadeanus,13.96667,104.88333,100,song,B,0:14,unknown,https://xeno-canto.org/24555/download,Chinese Francolin
15,19634,David Farrow,"Tmat Boey, Preah Vihear Province",Francolinus,pintadeanus,13.96667,104.88333,?,call,B,0:20,unknown,https://xeno-canto.org/19634/download,Chinese Francolin
16,519892,Oscar Campbell,"Tmat Boey, Preah Vihear Province",Francolinus,pintadeanus,13.9667,104.8833,70,call,C,0:38,no,https://xeno-canto.org/519892/download,Chinese Francolin
17,240314,Mike Nelson,"Tmat Boey, Preah Vihear Province",Francolinus,pintadeanus,13.9667,104.8833,70,call,C,2:38,yes,https://xeno-canto.org/240314/download,Chinese Francolin
18,240311,Mike Nelson,"Tmat Boey, Preah Vihear Province",Francolinus,pintadeanus,13.9667,104.8833,70,call,C,2:01,yes,https://xeno-canto.org/240311/download,Chinese Francolin
19,88501,Frank Lambert,"Sorng Rokavorn Community Forest, Oddar Meanchey Province",Francolinus,pintadeanus,14.1528,103.8109,50,"call, song",C,0:45,unknown,https://xeno-canto.org/88501/download,Chinese Francolin
20,753094,Ding Li Yong,"Sambuor Meas (near  Phnom Penh), Moukh Kampoul, Phnom Penh",Coturnix,coromandelica,11.6938,104.8835,10,song,B,0:51,yes,https://xeno-canto.org/753094/download,Rain Quail
