,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,sono,osci,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp
0,652467,Guttera,pucherani,,birds,Crested Guineafowl,Niall Perrins,Mozambique,"San Sebastian, Vilanculos, Inhambane",-22.149,35.4783,30,call,,,field recording,//xeno-canto.org/652467,https://xeno-canto.org/652467/download,XC652467-2021-05-22 06_18-crested-guineafowl.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC652467-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC652467-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC652467-large.png', 'full': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC652467-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/wave/XC652467-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/wave/XC652467-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/wave/XC652467-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,2:26,06:15,2021-05-22,2021-05-28,['Pycnonotus tricolor'],,yes,yes,no,,,no,,,44100
1,185643,Dendroperdix,sephaena,rovuma,birds,Crested Francolin,Niall Perrins,Mozambique,"Cheringoma, Sofala",-18.2455,35.2542,280,song,,,field recording,//xeno-canto.org/185643,https://xeno-canto.org/185643/download,XC185643-francolin-kirks-mphingwe-VN550303.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC185643-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC185643-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC185643-large.png', 'full': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC185643-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/wave/XC185643-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/wave/XC185643-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/wave/XC185643-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:24,04:05,2011-01-05,2014-07-07,[],,no,no,no,,,no,,,44100
2,304235,Dendroperdix,sephaena,rovuma,birds,Crested Francolin,Alan Collett,Mozambique,"Chibabava, Sofala",-20.9507,33.9082,80,call,,,field recording,//xeno-canto.org/304235,https://xeno-canto.org/304235/download,XC304235-130306_2035.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/SJRAXPTEKH/ffts/XC304235-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SJRAXPTEKH/ffts/XC304235-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SJRAXPTEKH/ffts/XC304235-large.png', 'full': '//xeno-canto.org/sounds/uploaded/SJRAXPTEKH/ffts/XC304235-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/SJRAXPTEKH/wave/XC304235-small.png', 'med': '//xeno-canto.org/sounds/uploaded/SJRAXPTEKH/wave/XC304235-med.png', 'large': '//xeno-canto.org/sounds/uploaded/SJRAXPTEKH/wave/XC304235-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:57,01:00,2016-01-20,2016-02-21,[],,no,no,no,,,no,,,44100
3,347179,Pternistis,hildebrandti,,birds,Hildebrandt's Spurfowl,David Moyer,Mozambique,"Mecula, Niassa",-12.1789,37.5548,600,song,,,field recording,//xeno-canto.org/347179,https://xeno-canto.org/347179/download,XC347179-Hildebrandt's Francolin.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/ffts/XC347179-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/ffts/XC347179-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/ffts/XC347179-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/ffts/XC347179-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/wave/XC347179-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/wave/XC347179-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/wave/XC347179-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:53,17:59,2016-12-10,2016-12-19,[],Roosting call of a small covey of birds as they flew from a rock pile on top of an inselberg into trees to roost for the night.,no,no,no,,,no,,,48000
4,346596,Pternistis,afer,,birds,Red-necked Spurfowl,David Moyer,Mozambique,"Mbatamila, Mecula, Niassa",-12.1839,37.5501,480,song,,,field recording,//xeno-canto.org/346596,https://xeno-canto.org/346596/download,XC346596-Red-necked Spurfowl.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/ffts/XC346596-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/ffts/XC346596-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/ffts/XC346596-large.png', 'full': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/ffts/XC346596-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/wave/XC346596-small.png', 'med': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/wave/XC346596-med.png', 'large': '//xeno-canto.org/sounds/uploaded/HBSLCUKXGS/wave/XC346596-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:25,15:51,2016-12-06,2016-12-19,[],,yes,yes,no,,,no,,,48000
5,59746,Pternistis,afer,castaneiventer,birds,Red-necked Spurfowl,Bram Piot,Mozambique,Inhaca island,-26.023,32.907,10,call,,,field recording,//xeno-canto.org/59746,https://xeno-canto.org/59746/download,Francolinus_afer_Inhaca_20100808_edited.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC59746-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC59746-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC59746-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/ffts/XC59746-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC59746-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC59746-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RGSEIIJGHA/wave/XC59746-large.png'}",//creativecommons.org/licenses/by-nc-nd/2.5/,C,0:35,07:00,2010-08-08,2010-08-15,"['Andropadus importunus', 'Ploceus ocularis', 'Streptopelia capicola']",Call when flushed; ssp. as per IBC range descriptions,yes,yes,no,,,no,,,44100
6,651558,Caprimulgus,pectoralis,crepusculans,birds,Fiery-necked Nightjar,Nature sounds by Simply Birding,Mozambique,"Pafuri, Chicualacuala, Gaza",-22.4501,31.3213,200,song,male,adult,field recording,//xeno-canto.org/651558,https://xeno-canto.org/651558/download,XC651558-Fiery-necked Nightjar - C. p. crepusculans - Song - CH - Pafuri - Date unknown.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC651558-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC651558-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC651558-large.png', 'full': '//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/ffts/XC651558-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/wave/XC651558-small.png', 'med': '//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/wave/XC651558-med.png', 'large': '//xeno-canto.org/sounds/uploaded/RDCYTRBPDJ/wave/XC651558-large.png'}",//creativecommons.org/licenses/by-nc-nd/4.0/,A,1:19,04:30,1968-11-23,2021-05-24,[],,yes,yes,no,,,no,,,44100
7,705357,Caprimulgus,pectoralis,,birds,Fiery-necked Nightjar,Olivier Hamerlynck,Mozambique,"Lopes, Matutuíne District, Maputo Province",-26.8025,32.8737,20,song,,,field recording,//xeno-canto.org/705357,https://xeno-canto.org/705357/download,XC705357-220228_0443.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/WHNSPGMWOJ/ffts/XC705357-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WHNSPGMWOJ/ffts/XC705357-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WHNSPGMWOJ/ffts/XC705357-large.png', 'full': '//xeno-canto.org/sounds/uploaded/WHNSPGMWOJ/ffts/XC705357-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/WHNSPGMWOJ/wave/XC705357-small.png', 'med': '//xeno-canto.org/sounds/uploaded/WHNSPGMWOJ/wave/XC705357-med.png', 'large': '//xeno-canto.org/sounds/uploaded/WHNSPGMWOJ/wave/XC705357-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,0:31,04:30,2022-02-28,2022-03-02,[],,no,no,no,,,no,,,44100
8,652455,Caprimulgus,pectoralis,crepusculans,birds,Fiery-necked Nightjar,Niall Perrins,Mozambique,"San Sebastian, Vilankulo, Inhambane Province",-22.1357,35.4449,0,"dawn song, song",,,field recording,//xeno-canto.org/652455,https://xeno-canto.org/652455/download,XC652455-2021-05-18 05_01-fiery-necked-nightjar.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC652455-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC652455-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC652455-large.png', 'full': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/ffts/XC652455-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/wave/XC652455-small.png', 'med': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/wave/XC652455-med.png', 'large': '//xeno-canto.org/sounds/uploaded/LWQXRZHFCU/wave/XC652455-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,B,1:21,05:00,2021-05-18,2021-05-28,[],,no,no,no,,,no,,,44100
9,563702,Caprimulgus,poliocephalus,,birds,Montane Nightjar,Gabriel A. Jamie,Mozambique,Mount Chitagal,-12.5925,35.2503,1800,song,,,field recording,//xeno-canto.org/563702,https://xeno-canto.org/563702/download,XC563702-DR0000_0038_filtered_amp.mp3,"{'small': '//xeno-canto.org/sounds/uploaded/ICUDBWGEGD/ffts/XC563702-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ICUDBWGEGD/ffts/XC563702-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ICUDBWGEGD/ffts/XC563702-large.png', 'full': '//xeno-canto.org/sounds/uploaded/ICUDBWGEGD/ffts/XC563702-full.png'}","{'small': '//xeno-canto.org/sounds/uploaded/ICUDBWGEGD/wave/XC563702-small.png', 'med': '//xeno-canto.org/sounds/uploaded/ICUDBWGEGD/wave/XC563702-med.png', 'large': '//xeno-canto.org/sounds/uploaded/ICUDBWGEGD/wave/XC563702-large.png'}",//creativecommons.org/licenses/by-nc-sa/4.0/,C,0:55,18:00,2016-11-09,2020-05-31,[],"The first record of this species for Mozambique - see: Jones, S. E. I., G. A. Jamie, E. Sumbane, and M. Jocque. 2020. The avifauna, conservation and biogeography of the Njesi Highlands in northern Mozambique, with a review of the country’s Afromontane birdlife. Ostrich 91:45-56.
",no,no,no,,,no,,,44100
