,record,n_roi,min_t,max_t,min_f,max_f,dt,df,APD,Family,Order,Biotope,id,sound_id,gen,species
0,432469,1,3.669149947,3.717428236,2347.826,2695.652,0.0483,347.826,-64.27,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
1,432469,2,3.753636952,3.813984813,2391.304,2652.174,0.0603,260.87,-61.25,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
2,432469,3,3.886402246,3.934680535,2304.348,2608.696,0.0483,304.348,-58.94,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
3,432469,4,4.013132755,4.055376257,2347.826,2695.652,0.0422,347.826,-61.04,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
4,432469,5,4.115724118,4.176071979,2304.348,2739.13,0.0603,434.783,-60.95,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
5,432469,6,4.242454626,4.272628557,2217.391,2543.478,0.0302,326.087,-60.07,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
6,432469,7,4.339011204,4.405393851,2173.913,2521.739,0.0664,347.826,-63.73,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
7,432469,8,5.839246389,5.890557869,2406.593,5109.89,0.0513,2703.297,-66.8,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
8,432469,9,5.936738201,6.01370542,2337.662,5298.701,0.077,2961.039,-67.83,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
9,432469,10,6.049623456,6.106066084,2389.61,4259.74,0.0564,1870.13,-63.58,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
10,432469,11,6.162508711,6.239475931,2298.701,4467.532,0.077,2168.831,-64.15,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
11,432469,12,6.270262819,6.362623482,2155.844,4000.0,0.0924,1844.156,-66.63,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
12,432469,13,6.485771033,6.567869401,2441.558,4675.325,0.0821,2233.766,-72.23,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
13,432469,14,6.629443176,6.711541544,2363.636,4831.169,0.0821,2467.532,-75.64,Acrocephalidae,Passeriformes,Wetlands,"0       432469
1       432469
2       432469
3       432469
4       432469
         ...  
3370    708641
3371    708641
3372    708641
3373    708641
3374    708641
Name: record, Length: 3375, dtype: int64",432469,Acrocephalus,baeticatus
