,id,rec,loc,gen,sp,lat,lng,alt,type,q,length,bird-seen,file,en
0,774233,Oliver Fowler,"Lake Nakuru National Park, Nakuru County",Numida,meleagris,-0.386,36.12,1800,call,A,0:20,yes,https://xeno-canto.org/774233/download,Helmeted Guineafowl
1,239799,Rory Nefdt,"Ol Pajeta Conservancy, Laikipia",Numida,meleagris,0.0033,36.9454,1800,alarm call,B,0:27,yes,https://xeno-canto.org/239799/download,Helmeted Guineafowl
2,206022,Rory Nefdt,"Rift Valley Resort, Lake Naivasha",Numida,meleagris,-0.6675,36.3188,2100,call,B,0:14,yes,https://xeno-canto.org/206022/download,Helmeted Guineafowl
3,200109,Rory Nefdt,"Mara Siria Camp, Mara Triangle",Numida,meleagris,-1.2231,35.028,1800,"call, song",C,0:53,yes,https://xeno-canto.org/200109/download,Helmeted Guineafowl
4,194533,Rory Nefdt,Nairobi National Park,Numida,meleagris,-1.4139,36.8998,1500,alarm call,C,0:17,yes,https://xeno-canto.org/194533/download,Helmeted Guineafowl
5,98676,Rory Nefdt,Kakamega Forest Reserve,Guttera,pucherani,0.352,34.861,1600,call,B,0:45,unknown,https://xeno-canto.org/98676/download,Crested Guineafowl
6,485085,James Bradley,Mau Forest,Guttera,pucherani,-0.379,35.374,2250,call,D,0:06,no,https://xeno-canto.org/485085/download,Crested Guineafowl
7,748406,Alexander Schlatmann,Mpala Research Centre,Acryllium,vulturinum,0.2925,36.8989,1700,"call, song",A,5:20,yes,https://xeno-canto.org/748406/download,Vulturine Guineafowl
8,748405,Alexander Schlatmann,Mpala Research Centre,Acryllium,vulturinum,0.2925,36.8989,1700,"call, song",A,0:57,yes,https://xeno-canto.org/748405/download,Vulturine Guineafowl
9,748404,Alexander Schlatmann,Mpala Research Centre,Acryllium,vulturinum,0.2925,36.8989,1700,"call, song",A,0:40,yes,https://xeno-canto.org/748404/download,Vulturine Guineafowl
10,748403,Alexander Schlatmann,Mpala Research Centre,Acryllium,vulturinum,0.2925,36.8989,1700,call,A,0:21,yes,https://xeno-canto.org/748403/download,Vulturine Guineafowl
11,748402,Alexander Schlatmann,Mpala Research Centre,Acryllium,vulturinum,0.2925,36.8989,1700,"call, song",A,0:50,yes,https://xeno-canto.org/748402/download,Vulturine Guineafowl
12,748401,Alexander Schlatmann,Mpala Research Centre,Acryllium,vulturinum,0.2925,36.8989,1700,call,A,0:47,yes,https://xeno-canto.org/748401/download,Vulturine Guineafowl
13,748400,Alexander Schlatmann,Mpala Research Centre,Acryllium,vulturinum,0.2925,36.8989,1700,"call, song",A,0:09,yes,https://xeno-canto.org/748400/download,Vulturine Guineafowl
